feature,importance
stop_sequence,0.22868754883902861
hour_sin,0.12845924775950898
direction_id_1,0.12101671761325208
dew_point_2m,0.06275547883280354
temperature_2m,0.06258651304976305
hour_cos,0.047157528694564174
hour,0.04655803922833635
wind_speed_10m,0.04137251907611864
wind_direction_10m,0.04002719089871838
day_sin,0.03680321804379617
wind_gusts_10m,0.030939057998005188
month_sin,0.021470138433047188
month_cos,0.019994557317303596
vacances_scolaires,0.015875612695868336
cloud_cover,0.014072490166534453
month,0.010614079086816317
day_cos,0.009935351710645015
snowfall,0.008799751048654141
rain,0.008318907223918773
day_of_week,0.007299098313959556
est_jour_ferie,0.006951671133395894
precipitation,0.006734349902429131
soleil_leve,0.004498338644397672
weather_code_75,0.0034995061513796093
weather_code_71,0.0025787219910987065
weather_code_53,0.0018651488063883917
est_weekend,0.0017206256255856043
weather_code_51,0.001643816360671465
weather_code_2,0.0015171267754270825
weather_code_1,0.0013826648144896734
risque_gel_neige,0.001218158436804542
weather_code_3,0.000998031712378633
weather_code_55,0.0009602942969775282
weather_code_61,0.0008003318173920094
neige_fondue,0.0004664724778768025
weather_code_73,0.00018818029180723772
weather_code_65,0.00011807170265891203
weather_code_63,0.00011544302819852488
risque_gel_pluie,0.0
